timestamp,util_gpu,util_mem,mem_used_mb,mem_total_mb,power_w,temp_c
2026-01-05 08:47:45,0,0,0,81559,69.64,30
2026-01-05 08:47:55,0,0,4,81559,69.57,30
2026-01-05 08:48:05,0,0,669,81559,116.68,32
2026-01-05 08:48:15,0,0,809,81559,116.96,32
2026-01-05 08:48:25,0,0,3515,81559,116.82,32
2026-01-05 08:48:35,0,0,3515,81559,116.90,32
2026-01-05 08:48:45,0,0,3515,81559,164.27,33
2026-01-05 08:48:55,0,0,3515,81559,116.97,32
2026-01-05 08:49:05,0,0,3515,81559,116.93,32
2026-01-05 08:49:15,0,0,3515,81559,140.03,33
2026-01-05 08:49:26,0,0,3515,81559,116.93,32
2026-01-05 08:49:36,0,0,3515,81559,116.96,32
2026-01-05 08:49:46,0,0,3515,81559,128.22,33
2026-01-05 08:49:56,0,0,3515,81559,116.92,32
2026-01-05 08:50:06,0,0,3515,81559,116.36,32
2026-01-05 08:50:16,0,0,3515,81559,129.59,32
2026-01-05 08:50:26,0,0,3515,81559,116.13,32
2026-01-05 08:50:36,0,0,3515,81559,116.12,32
2026-01-05 08:50:46,0,0,3515,81559,125.64,32
2026-01-05 08:50:56,0,0,3515,81559,116.99,32
2026-01-05 08:51:06,55,19,3515,81559,140.53,34
2026-01-05 08:51:16,0,0,3515,81559,116.98,32
2026-01-05 08:51:26,0,0,3515,81559,116.26,32
2026-01-05 08:51:36,0,0,3515,81559,138.99,33
2026-01-05 08:51:46,0,0,3515,81559,116.32,32
2026-01-05 08:51:56,0,0,3515,81559,116.31,32
2026-01-05 08:52:06,0,0,3515,81559,116.44,32
2026-01-05 08:52:16,0,0,3515,81559,116.40,32
2026-01-05 08:52:26,0,0,3515,81559,116.36,32
2026-01-05 08:52:37,0,0,3515,81559,116.45,32
2026-01-05 08:52:47,0,0,3515,81559,116.44,32
2026-01-05 08:52:57,0,0,3515,81559,116.46,32
2026-01-05 08:53:07,0,0,3515,81559,116.44,32
2026-01-05 08:53:17,0,0,3515,81559,116.39,32
2026-01-05 08:53:27,0,0,3515,81559,138.81,33
2026-01-05 08:53:37,0,0,3515,81559,116.34,32
2026-01-05 08:53:47,0,0,3515,81559,116.37,32
2026-01-05 08:53:57,0,0,3515,81559,138.76,32
2026-01-05 08:54:07,59,20,3515,81559,140.11,35
2026-01-05 08:54:17,0,0,3515,81559,116.30,32
2026-01-05 08:54:27,0,0,3515,81559,116.46,32
2026-01-05 08:54:37,0,0,3515,81559,138.68,33
2026-01-05 08:54:47,0,0,3515,81559,116.36,32
2026-01-05 08:54:57,0,0,3515,81559,116.37,32
2026-01-05 08:55:07,0,0,3515,81559,139.79,32
2026-01-05 08:55:17,0,0,3515,81559,116.27,32
2026-01-05 08:55:27,0,0,3515,81559,116.25,32
2026-01-05 08:55:37,0,0,3515,81559,139.48,32
2026-01-05 08:55:48,0,0,3515,81559,139.01,33
2026-01-05 08:55:58,0,0,3515,81559,116.39,32
2026-01-05 08:56:08,0,0,3515,81559,116.80,32
2026-01-05 08:56:18,0,0,3515,81559,139.31,32
2026-01-05 08:56:28,0,0,3515,81559,116.37,32
2026-01-05 08:56:38,0,0,3515,81559,116.49,32
2026-01-05 08:56:48,0,0,3515,81559,116.38,32
2026-01-05 08:56:58,0,0,3515,81559,116.30,32
