timestamp,util_gpu,util_mem,mem_used_mb,mem_total_mb,power_w,temp_c
2026-01-05 08:44:31,0,0,0,81559,70.06,30
2026-01-05 08:44:41,0,0,4,81559,69.90,30
2026-01-05 08:44:51,0,0,669,81559,116.52,32
2026-01-05 08:45:01,1,0,3491,81559,128.75,33
2026-01-05 08:45:11,0,0,3515,81559,117.43,32
2026-01-05 08:45:21,0,0,3515,81559,117.38,32
2026-01-05 08:45:31,0,0,3515,81559,165.43,33
2026-01-05 08:45:41,0,0,3515,81559,116.87,33
2026-01-05 08:45:51,0,0,3515,81559,118.27,33
2026-01-05 08:46:01,0,0,3515,81559,118.48,33
2026-01-05 08:46:11,0,0,3515,81559,117.69,33
2026-01-05 08:46:21,0,0,3515,81559,117.54,33
2026-01-05 08:46:31,0,0,3515,81559,128.71,33
2026-01-05 08:46:41,0,0,3515,81559,117.60,33
2026-01-05 08:46:51,0,0,3515,81559,117.58,33
2026-01-05 08:47:01,0,0,3515,81559,130.39,33
2026-01-05 08:47:11,0,0,3515,81559,117.61,33
2026-01-05 08:47:22,0,0,3515,81559,117.75,33
2026-01-05 08:47:32,0,0,3515,81559,129.14,33
2026-01-05 08:47:42,0,0,3515,81559,118.50,33
2026-01-05 08:47:52,0,0,3515,81559,122.44,33
2026-01-05 08:48:02,0,0,3515,81559,124.08,33
2026-01-05 08:48:12,0,0,3515,81559,117.60,33
2026-01-05 08:48:22,0,0,3515,81559,116.97,33
2026-01-05 08:48:32,0,0,3515,81559,117.98,33
2026-01-05 08:48:43,0,0,3515,81559,117.85,33
2026-01-05 08:48:53,0,0,3515,81559,118.45,33
2026-01-05 08:49:03,0,0,3515,81559,118.53,33
2026-01-05 08:49:13,0,0,3515,81559,118.47,33
2026-01-05 08:49:23,60,20,3515,81559,141.93,35
2026-01-05 08:49:33,0,0,3515,81559,118.51,33
2026-01-05 08:49:43,0,0,3515,81559,117.84,33
2026-01-05 08:49:53,28,9,3515,81559,140.96,34
2026-01-05 08:50:03,0,0,3515,81559,117.90,33
2026-01-05 08:50:13,0,0,3515,81559,117.86,33
2026-01-05 08:50:23,30,10,3515,81559,151.70,34
2026-01-05 08:50:33,0,0,3515,81559,117.97,33
2026-01-05 08:50:43,0,0,3515,81559,117.86,33
2026-01-05 08:50:53,30,10,3515,81559,150.58,34
2026-01-05 08:51:03,0,0,3515,81559,118.68,33
2026-01-05 08:51:13,0,0,3515,81559,118.54,33
2026-01-05 08:51:23,0,0,3515,81559,152.86,34
2026-01-05 08:51:33,0,0,3515,81559,118.59,33
2026-01-05 08:51:44,0,0,3515,81559,118.60,33
2026-01-05 08:51:54,0,0,3515,81559,153.93,34
2026-01-05 08:52:04,0,0,3515,81559,118.64,33
2026-01-05 08:52:14,0,0,3515,81559,117.81,33
2026-01-05 08:52:24,0,0,3515,81559,152.40,34
2026-01-05 08:52:34,0,0,3515,81559,118.54,33
2026-01-05 08:52:44,0,0,3515,81559,118.55,33
2026-01-05 08:52:54,0,0,3515,81559,151.98,34
2026-01-05 08:53:04,0,0,3515,81559,118.58,33
2026-01-05 08:53:14,0,0,3515,81559,117.88,33
2026-01-05 08:53:24,0,0,3515,81559,152.26,34
2026-01-05 08:53:34,0,0,3515,81559,117.78,33
2026-01-05 08:53:44,0,0,3515,81559,118.46,33
2026-01-05 08:53:54,0,0,3515,81559,152.39,34
2026-01-05 08:54:04,0,0,3515,81559,118.62,33
2026-01-05 08:54:14,0,0,3515,81559,118.47,33
2026-01-05 08:54:25,0,0,3515,81559,154.65,33
2026-01-05 08:54:35,0,0,3515,81559,117.85,33
2026-01-05 08:54:45,0,0,3515,81559,117.71,33
2026-01-05 08:54:55,0,0,3515,81559,155.17,34
2026-01-05 08:55:05,0,0,3515,81559,117.99,33
2026-01-05 08:55:15,0,0,3515,81559,122.10,33
2026-01-05 08:55:25,0,0,3515,81559,166.20,34
2026-01-05 08:55:35,0,0,3515,81559,117.68,33
2026-01-05 08:55:45,0,0,3515,81559,117.12,33
2026-01-05 08:55:55,0,0,3515,81559,163.62,34
2026-01-05 08:56:05,0,0,3515,81559,117.73,33
2026-01-05 08:56:15,0,0,3515,81559,117.65,33
2026-01-05 08:56:25,0,0,3515,81559,164.60,34
2026-01-05 08:56:35,0,0,3515,81559,117.68,33
2026-01-05 08:56:45,0,0,3515,81559,117.54,33
2026-01-05 08:56:55,0,0,3515,81559,163.49,33
2026-01-05 08:57:05,0,0,3515,81559,117.59,33
2026-01-05 08:57:16,0,0,3515,81559,117.51,33
2026-01-05 08:57:26,6,2,3515,81559,161.43,34
2026-01-05 08:57:36,0,0,3515,81559,116.95,33
2026-01-05 08:57:46,0,0,3515,81559,117.57,33
2026-01-05 08:57:56,0,0,3515,81559,164.07,33
2026-01-05 08:58:06,0,0,3515,81559,117.80,33
2026-01-05 08:58:16,0,0,3515,81559,118.40,33
2026-01-05 08:58:26,0,0,3515,81559,165.61,33
2026-01-05 08:58:36,0,0,3515,81559,117.76,33
2026-01-05 08:58:46,0,0,3515,81559,117.62,33
2026-01-05 08:58:56,0,0,3515,81559,164.21,33
2026-01-05 08:59:06,0,0,3515,81559,118.36,33
2026-01-05 08:59:16,0,0,3515,81559,118.33,33
2026-01-05 08:59:26,0,0,3515,81559,128.27,33
2026-01-05 08:59:36,0,0,3515,81559,117.69,33
2026-01-05 08:59:46,0,0,3515,81559,118.26,33
2026-01-05 08:59:56,0,0,3515,81559,130.01,33
2026-01-05 09:00:06,0,0,3515,81559,118.37,33
2026-01-05 09:00:16,0,0,3515,81559,118.27,33
2026-01-05 09:00:26,0,0,3515,81559,130.11,33
2026-01-05 09:00:36,0,0,3515,81559,117.56,33
2026-01-05 09:00:46,0,0,3515,81559,118.34,33
2026-01-05 09:00:56,0,0,3515,81559,128.99,33
2026-01-05 09:01:07,0,0,3515,81559,118.44,33
2026-01-05 09:01:17,0,0,3515,81559,118.42,33
2026-01-05 09:01:27,0,0,3515,81559,130.33,33
2026-01-05 09:01:37,0,0,3515,81559,117.92,33
2026-01-05 09:01:47,0,0,3515,81559,117.78,33
2026-01-05 09:01:57,0,0,3515,81559,128.79,33
2026-01-05 09:02:07,0,0,3515,81559,117.75,33
2026-01-05 09:02:17,0,0,3515,81559,149.10,39
2026-01-05 09:02:27,0,0,3515,81559,130.91,33
2026-01-05 09:02:37,0,0,3515,81559,117.12,33
2026-01-05 09:02:47,49,16,3515,81559,138.04,40
2026-01-05 09:02:57,0,0,3515,81559,130.39,33
2026-01-05 09:03:07,0,0,3515,81559,118.56,33
2026-01-05 09:03:17,0,0,3515,81559,153.59,34
2026-01-05 09:03:27,0,0,3515,81559,128.11,33
